date,active_cases,deaths,recoveries,wikidataId,cases
2020-01-21,,,,Q30,
2020-01-24,,,,Q30,
2020-01-25,,,,Q30,
2020-01-26,,,,Q30,
2020-01-30,,,,Q30,
2020-01-31,,,,Q30,
2020-02-01,,,,Q30,
2020-02-02,,,,Q30,
2020-02-05,,,,Q30,
2020-02-17,,,,Q30,
2020-02-20,,,,Q30,
2020-02-26,,,,Q30,
2020-02-28,,,,Q30,
2020-02-29,,,,Q30,
2020-03-01,,,,Q30,
2020-03-02,,,,Q30,
2020-03-03,,,,Q30,
2020-03-04,,,,Q30,
2020-03-05,155.0,,,Q30,
2020-03-06,223.0,,,Q30,
2020-03-07,319.0,,,Q30,
2020-03-08,461.0,,,Q30,
2020-03-09,604.0,,,Q30,
2020-03-10,890.0,,,Q30,
2020-03-11,1153.0,,,Q30,
2020-03-12,1542.0,,,Q30,
2020-03-13,2098.0,,,Q30,
2020-03-14,2720.0,,,Q30,
2020-03-15,3379.0,,,Q30,
2020-03-16,4222.0,,,Q30,
2020-03-17,5460.0,97.0,107.0,Q30,5567.0
2020-03-18,7844.0,123.0,107.0,Q30,7951.0
2020-03-19,11738.0,175.0,109.0,Q30,11847.0
2020-03-20,17062.0,230.0,147.0,Q30,17209.0
2020-03-21,23241.0,298.0,171.0,Q30,23412.0
2020-03-22,31755.0,408.0,178.0,Q30,31933.0
2020-03-23,41936.0,519.0,296.0,Q30,42232.0
2020-03-24,51630.0,681.0,379.0,Q30,52009.0
2020-03-25,63616.0,906.0,394.0,Q30,64010.0
2020-03-26,78943.0,1159.0,1864.0,Q30,80807.0
2020-03-27,96955.0,1592.0,2465.0,Q30,99420.0
2020-03-28,115835.0,2039.0,3231.0,Q30,119066.0
2020-03-29,133233.0,2431.0,4559.0,Q30,137792.0
2020-03-30,152195.0,2985.0,5506.0,Q30,157701.0
2020-03-31,174934.0,3806.0,7251.0,Q30,182185.0
2020-04-01,199123.0,4746.0,8878.0,Q30,208001.0
2020-04-02,225402.0,5821.0,10403.0,Q30,235805.0
2020-04-03,254862.0,7006.0,12283.0,Q30,267145.0
2020-04-04,284692.0,8359.0,14825.0,Q30,299517.0
2020-04-05,306082.0,9534.0,17977.0,Q30,324059.0
2020-04-06,332633.0,10746.0,19573.0,Q30,352206.0
2020-04-07,359116.0,12674.0,21674.0,Q30,380790.0
2020-04-08,388245.0,14610.0,22891.0,Q30,411136.0
2020-04-09,417595.0,16466.0,25928.0,Q30,443523.0
2020-04-10,447709.0,18544.0,27314.0,Q30,475023.0
2020-04-11,474540.0,20443.0,30453.0,Q30,504993.0
2020-04-12,498923.0,21936.0,32634.0,Q30,531557.0
2020-04-13,517832.0,23398.0,36948.0,Q30,554780.0
